ts,lst,intrinsic_sol,dex_price_sol,disc_pct,dex,pool_liq_usd,net_after_costs_pct,actionable
2026-07-09T03:30:47.984601+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6203290,-1.1745,0
2026-07-09T03:30:47.984601+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1389627,-1.1336,0
2026-07-09T03:30:47.984601+00:00,bSOL,1.290721,1.3029,-0.9436,orca,462588,-1.1436,0
2026-07-09T03:30:47.984601+00:00,INF,1.407837,1.4347,-1.9081,meteora,244468,-2.1081,0
2026-07-09T03:30:47.984601+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,157614,-1.2267,0
2026-07-09T03:30:47.984601+00:00,bnSOL,1.110411,1.1199,-0.8545,meteora,486,-1.0545,0
2026-07-09T03:30:47.984601+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T03:46:14.026874+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6210453,-1.1745,0
2026-07-09T03:46:14.026874+00:00,mSOL,1.376648,1.3896,-0.9408,meteora,1393259,-1.1408,0
2026-07-09T03:46:14.026874+00:00,bSOL,1.290721,1.3027,-0.9281,orca,464672,-1.1281,0
2026-07-09T03:46:14.026874+00:00,INF,1.407837,1.4347,-1.9081,meteora,244785,-2.1081,0
2026-07-09T03:46:14.026874+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,157839,-1.2267,0
2026-07-09T03:46:14.026874+00:00,bnSOL,1.110411,1.1199,-0.8545,meteora,486,-1.0545,0
2026-07-09T03:46:14.026874+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T04:01:06.469070+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6220105,-1.1745,0
2026-07-09T04:01:06.469070+00:00,mSOL,1.376648,1.3896,-0.9408,meteora,1393259,-1.1408,0
2026-07-09T04:01:06.469070+00:00,bSOL,1.290721,1.3027,-0.9281,orca,465635,-1.1281,0
2026-07-09T04:01:06.469070+00:00,INF,1.407837,1.4342,-1.8726,meteora,245388,-2.0726,0
2026-07-09T04:01:06.469070+00:00,jupSOL,1.183945,1.1961,-1.0267,orca,158146,-1.2267,0
2026-07-09T04:01:06.469070+00:00,bnSOL,1.110411,1.1199,-0.8545,meteora,486,-1.0545,0
2026-07-09T04:01:06.469070+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T04:15:34.581963+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6223323,-1.1745,0
2026-07-09T04:15:34.581963+00:00,mSOL,1.376648,1.3896,-0.9408,meteora,1395427,-1.1408,0
2026-07-09T04:15:34.581963+00:00,bSOL,1.290721,1.3027,-0.9281,orca,465214,-1.1281,0
2026-07-09T04:15:34.581963+00:00,INF,1.407837,1.4338,-1.8441,meteora,245228,-2.0441,0
2026-07-09T04:15:34.581963+00:00,jupSOL,1.183945,1.196,-1.0182,orca,158330,-1.2182,0
2026-07-09T04:15:34.581963+00:00,bnSOL,1.110411,1.1199,-0.8545,meteora,486,-1.0545,0
2026-07-09T04:15:34.581963+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T04:30:47.035515+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6222519,-1.1745,0
2026-07-09T04:30:47.035515+00:00,mSOL,1.376648,1.3896,-0.9408,meteora,1395969,-1.1408,0
2026-07-09T04:30:47.035515+00:00,bSOL,1.290721,1.3027,-0.9281,orca,465094,-1.1281,0
2026-07-09T04:30:47.035515+00:00,INF,1.407837,1.4338,-1.8441,meteora,245164,-2.0441,0
2026-07-09T04:30:47.035515+00:00,jupSOL,1.183945,1.196,-1.0182,orca,158330,-1.2182,0
2026-07-09T04:30:47.035515+00:00,bnSOL,1.110411,1.1199,-0.8545,meteora,486,-1.0545,0
2026-07-09T04:30:47.035515+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T04:50:34.897762+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6238521,-1.1745,0
2026-07-09T04:50:34.897762+00:00,mSOL,1.376648,1.3893,-0.919,meteora,1404944,-1.119,0
2026-07-09T04:50:34.897762+00:00,bSOL,1.290721,1.3027,-0.9281,orca,467620,-1.1281,0
2026-07-09T04:50:34.897762+00:00,INF,1.407837,1.4338,-1.8441,meteora,246814,-2.0441,0
2026-07-09T04:50:34.897762+00:00,jupSOL,1.183945,1.196,-1.0182,orca,159251,-1.2182,0
2026-07-09T04:50:34.897762+00:00,bnSOL,1.110411,1.1199,-0.8545,meteora,486,-1.0545,0
2026-07-09T04:50:34.897762+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T05:01:05.427180+00:00,jitoSOL,1.275866,1.2881,-0.9589,orca,6250157,-1.1589,0
2026-07-09T05:01:05.427180+00:00,mSOL,1.376648,1.3892,-0.9118,meteora,1408172,-1.1118,0
2026-07-09T05:01:05.427180+00:00,bSOL,1.290721,1.3027,-0.9281,orca,469305,-1.1281,0
2026-07-09T05:01:05.427180+00:00,INF,1.407837,1.4338,-1.8441,meteora,247417,-2.0441,0
2026-07-09T05:01:05.427180+00:00,jupSOL,1.183945,1.196,-1.0182,orca,159251,-1.2182,0
2026-07-09T05:01:05.427180+00:00,bnSOL,1.110411,1.1199,-0.8545,meteora,486,-1.0545,0
